Image,Method,Quality,FileSize (KB),CompressionRatio,PSNR (dB),SSIM,Identical
Lena,JPEG,95,104.958984375,4.408632464318279,35.88144312981308,0.9105744381884763,Tidak
Lena,JPEG,75,36.90234375,12.539192336191384,33.209323745637704,0.8665314072674901,Tidak
Lena,JPEG,50,23.7587890625,19.475975173661062,32.01706164517368,0.8428265796394333,Tidak
Lena,JPEG,25,15.4443359375,29.960859943092,30.438201711518886,0.8064000675226902,Tidak
Lena,JPEG,10,9.341796875,49.53282458707924,27.529519203250743,0.7321033859683754,Tidak
Lena,PNG,Level 0,769.8037109375,0.6010955511944375,Infinity,1.0,Ya
Lena,PNG,Lossless,500.7900390625,0.9239911936022964,Infinity,1.0,Ya
Peppers,JPEG,95,96.98046875,4.681546300398759,38.28016413197192,0.9700035995696218,Tidak
Peppers,JPEG,75,39.296875,11.553553677932406,34.001039936642755,0.940515490217121,Tidak
Peppers,JPEG,50,27.09765625,16.754901254144443,32.06272820144738,0.9202297887699812,Tidak
Peppers,JPEG,25,18.43359375,24.62995337995338,29.998793685963623,0.8889225477782067,Tidak
Peppers,JPEG,10,11.29296875,40.203649256312694,26.841893433197882,0.8119510738200079,Tidak
Peppers,PNG,Level 0,769.8037109375,0.5897848350647423,Infinity,1.0,Ya
Peppers,PNG,Lossless,434.98828125,1.0437489336099213,Infinity,1.0,Ya
Cameraman,JPEG,95,84.58203125,2.068743361197063,45.08171178614493,0.990441958637699,Tidak
Cameraman,JPEG,75,35.0927734375,4.986169472658967,35.08051249270815,0.9485096988955438,Tidak
Cameraman,JPEG,50,22.9150390625,7.635968463669295,32.59934831480675,0.9141373691240396,Tidak
Cameraman,JPEG,25,14.9501953125,11.704095630021556,30.807209943125304,0.8722283119845579,Tidak
Cameraman,JPEG,10,8.63671875,20.259837177747624,28.428236121908256,0.7844369540999684,Tidak
Cameraman,PNG,Level 0,769.8037109375,0.22730276970463503,Infinity,1.0,Ya
Cameraman,PNG,Lossless,193.5791015625,0.9039122209610291,Infinity,1.0,Ya
